Catalogue_Num,Specimen_Number,Pit,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes,Quadrant
41229,7134,1A,45,50,2A11,lizard,,,parietal,1,NA,large R horn,NA
41229,7214,1,70,75,2B2,lizard,,,parietal,1,NA,horn fragment,NA
41229,7805,1B,20,25,2A5,lizard,,,frontal,1,NA,middle fragment,NA
41229,799,1,85,90,2B7,lizard,,,jugal,1,1L,NA,NA
41229,800,1,85,90,2B7,lizard,,,parietal,1,NA,missing horns,NA
41229,8093,1,40,45,2A10,lizard,,,maxilla,1,1L,"unicuspid frag, wide teeth, eroded crowns",NA
41229,8094,1,40,45,2A10,lizard,,,dentary,1,1R,"unicuspid frag, wide sup mk lip, eroded crowns",NA
41229,8120,1,60,65,2A15,lizard,,,surangular,1,1L,3 horns,NA
41229,8195,1,60,65,2A15,lizard,,,dentary,1,1L,"id as Crotaphytus, slender tricuspid teeth",NA
41229,8227,1A,5,10,2A2,lizard,,,braincase,1,NA,complete,NA
41229,8510,1B,85,90,2B7,lizard,,,dentary,1,1R,"wide teeth, tricuspid",NA
41229,873,1,115,120,2B17,lizard,,,squamosal,1,1L,3 long horns,NA
41229,8994,1A,20,25,2A5,lizard,,,parietal,1,NA,2 long horns with 1 middle,NA
41229,8995,1A,20,25,2A5,lizard,,,squamosal,1,1L,"1 long horn, 1 broken",NA
41229,9058,1B,80,85,2B5,lizard,,,parietal,1,1R,NA,NA
41229,9242,1,25,30,2A6,lizard,,,squamosal,1,1R,2 long horns,NA
41229,945,1,130,135,2C5,lizard,,,parietal,1,NA,"1 small middle horn, horns broken",NA
41229,946,1,130,135,2C5,lizard,,,frontal,1,NA,bumpy dorsal surface,NA
41229,9848,1B,70,75,2B2,lizard,,,jugal?,1,1L,"previous id ""Phrynosoma jugal""; not convinced of id",NA
41229,9917,1D,70,75,2B2,lizard,,,maxilla,1,1L,previously id'ed as Crotaphytus,NA
41229,10023,1,30,35,2A8,lizard,,,parietal,1,NA,horn? fragment,NA
41229,10024,1,30,35,2A8,lizard,,,surangular_articular,1,1L,NA,NA
41229,10126,1D,65,70,2A16,lizard,,,frontal,1,NA,in 2 pieces,NA
41229,10177,1C,25,30,2A6,lizard,,,parietal,1,NA,horn,NA
41229,10178,1C,65,70,2A16,lizard,,,surangular,1,1L,NA,NA
41229,1027,1,65,70,2A16,lizard,,,frontal,1,NA,NA,NA
41229,1028,1,65,70,2A16,lizard,,,parietal,1,1L,long horn with small middle horn,NA
41229,10525,1,105,110,2B14,lizard,,,squamosal,1,NA,1 small horn,NA
41229,1071,1A,160,165,2D6,lizard,,,squamosal,1,NA,horn,NA
41229,10883,1D/E,220,225,2.00E+07,lizard,,,parietal,1,NA,NA,NA
41229,10884,1D/E,220,225,2.00E+07,lizard,,,frontal,1,1R,NA,NA
41229,10885,1D/E,220,225,2.00E+07,lizard,,,squamosal,1,1R,3 short horns,NA
41229,10886,1D/E,220,225,2.00E+07,lizard,,,squamosal,1,1L,2 short horns,NA
41229,10970,1D/E,215,220,2.00E+06,lizard,,,squamosal,1,1L,2 short horns,NA
41229,11075,1D,230,235,2.00E+09,lizard,,,frontal,1,NA,NA,NA
41229,11076,1D,230,235,2.00E+09,lizard,,,frontal,1,NA,burned,NA
41229,11077,1D,230,235,2.00E+09,lizard,,,frontal,2,NA,in 2 pieces,NA
41229,11078,1D,230,235,2.00E+09,lizard,,,frontal,1,NA,NA,NA
41229,11079,1D,230,235,2.00E+09,lizard,,,squamosal,1,1L,3 short horns,NA
41229,11091,1D/E,195,200,2D15,lizard,,,dentary,1,1L,"unicuspid,  some missing crowns, closed mk, no tubercle",NA
41229,11092,1D/E,195,200,2D15,lizard,,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",NA
41229,11093,1D/E,195,200,2D15,lizard,,,dentary,1,1R,"eroded crown and some tooth shafts, no tubercle",NA
41229,11214,1D/E,205,210,2.00E+03,lizard,,,frontal,1,1,NA,NA
41229,11215,1D/E,205,210,2.00E+03,lizard,,,frontal,1,1,NA,NA
41229,11216,1D/E,205,210,2.00E+03,lizard,,,frontal,1,1,NA,NA
41229,11217,1D/E,205,210,2.00E+03,lizard,,,frontal,1,1,NA,NA
41229,11253,1D,260,265,2.00E+13,lizard,,,frontal,1,NA,NA,NA
41229,11254,1E,140,145,2C9,lizard,,,parietal,1,1R,1 long horn,NA
41229,11255,1E,140,145,2C9,lizard,,,frontal,1,NA,bumpy dorsal surface,NA
41229,11256,1E,140,145,2C9,lizard,,,frontal,1,NA,bumpy dorsal surface,NA
41229,11257,1E,140,145,2C9,lizard,,,squamosal,1,1R,3 long horns,NA
41229,1131,1B,100,105,2B12,lizard,,,parietal,1,1R,horn fragment,NA
41229,11627,1E,105,110,2B14,lizard,,,parietal,1,NA,horn fragment,NA
41229,12032,1D,115,120,2B17,lizard,,,parietal,1,1R,"1 long horn,fragment",NA
41229,1271,1A,35,40,2A9,lizard,,,parietal,1,NA,horn? fragment,NA
41229,20,1,0,15,2A1,lizard,,,dentary,1,1L,",frag. 18 tooth positions, posterior teeth tricuspid",NA
41229,25229,1,140,145,2C9,lizard,,,humerus,1,distal frag,NA,NA
41229,25557,1D/E,210,215,2.00E+05,lizard,,,vertebra,204,NA,NA,NA
41229,25558,1D/E,210,215,2.00E+05,lizard,,,vertebra,186,NA,NA,NA
41229,25559,1D/E,210,215,2.00E+05,lizard,,,axis,6,NA,NA,NA
41229,25560,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,sphenoid,NA
41229,25561,1D/E,210,215,2.00E+05,lizard,,,coronoid,1,1R,NA,NA
41229,25562,1D/E,210,215,2.00E+05,lizard,,,nasal,1,NA,NA,NA
41229,25563,1D/E,210,215,2.00E+05,lizard,,,tibia,1,NA,NA,NA
41229,25564,1D/E,210,215,2.00E+05,lizard,,,metacarpals_metatarsals,5,NA,NA,NA
41229,25565,1D/E,210,215,2.00E+05,lizard,,,humerus,8,8L,NA,NA
41229,25566,1D/E,210,215,2.00E+05,lizard,,,humerus,4,4R,NA,NA
41229,25567,1D/E,210,215,2.00E+05,lizard,,,femur,2,2L,NA,NA
41229,25568,1D/E,210,215,2.00E+05,lizard,,,femur,7,7R,NA,NA
41229,25569,1D/E,210,215,2.00E+05,lizard,,,pelvis,4,4L,NA,NA
41229,25570,1D/E,210,215,2.00E+05,lizard,,,pelvis,3,3R,NA,NA
41229,25571,1D/E,210,215,2.00E+05,lizard,,,vertebra,121,NA,NA,NA
41229,25572,1D/E,210,215,2.00E+05,lizard,,,humerus,1,1L,NA,NA
41229,25573,1D/E,210,215,2.00E+05,lizard,,,femur,4,4R,NA,NA
41229,25574,1D/E,210,215,2.00E+05,lizard,,,radius,1,NA,NA,NA
41229,25575,1D/E,210,215,2.00E+05,lizard,,,coronoid,1,1L,NA,NA
41229,25576,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,sphenoid burned,NA
41229,25577,1D/E,210,215,2.00E+05,lizard,,,tibia,1,NA,NA,NA
41229,25578,1D/E,210,215,2.00E+05,lizard,,,coronoid,1,1R,NA,NA
41229,25579,1D/E,210,215,2.00E+05,lizard,,,quadrate,1,1L,NA,NA
41229,25580,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,basioccipital,NA
41229,25581,1D/E,210,215,2.00E+05,lizard,,,metacarpals_metatarsals,1,NA,NA,NA
41229,25582,1D/E,210,215,2.00E+05,lizard,,,quadrate,1,1R,NA,NA
41229,25583,1D/E,210,215,2.00E+05,lizard,,,braincase,2,2L,otooccipital,NA
41229,25584,1D/E,210,215,2.00E+05,lizard,,,postorbital,1,NA,NA,NA
41229,25585,1D/E,210,215,2.00E+05,lizard,,,quadrate,1,1R,NA,NA
41229,25586,1D/E,210,215,2.00E+05,lizard,,,quadrate,1,1R,NA,NA
41229,25587,1D/E,210,215,2.00E+05,lizard,,,scapulocorocoid,7,7L,NA,NA
41229,25588,1D/E,210,215,2.00E+05,lizard,,,scapulocorocoid,6,6R,NA,NA
41229,25589,1D/E,210,215,2.00E+05,lizard,,,pelvis,3,3R,NA,NA
41229,25590,1D/E,210,215,2.00E+05,lizard,,,pelvis,5,5R,NA,NA
41229,25591,1D/E,210,215,2.00E+05,lizard,,,postorbital,1,NA,NA,NA
41229,25592,1D/E,210,215,2.00E+05,lizard,,,ectopterygoid,1,NA,NA,NA
41229,25593,1D/E,210,215,2.00E+05,lizard,,,interclavicle,4,NA,t shaped,NA
41229,25594,1D/E,210,215,2.00E+05,lizard,,,braincase,4,NA,sphenoid,NA
41229,25595,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,sphenoid deep pituitary fossa,NA
41229,25596,1D/E,210,215,2.00E+05,lizard,,,axis,1,NA,NA,NA
41229,25597,1D/E,210,215,2.00E+05,lizard,,,prefrontal,1,1L,NA,NA
41229,25598,1D/E,210,215,2.00E+05,lizard,,,braincase,3,"1L,2R",otooccipital,NA
41229,25600,1D/E,210,215,2.00E+05,lizard,,,osteoderm,15,NA,NA,NA
41229,25601,1D/E,210,215,2.00E+05,lizard,,,pterygoid,1,1L,NA,NA
41229,25602,1D/E,210,215,2.00E+05,lizard,,,pterygoid,1,1R,NA,NA
41229,25603,1D/E,210,215,2.00E+05,lizard,,,jugal,1,1L,NA,NA
41229,25604,1D/E,210,215,2.00E+05,lizard,,,jugal,4,4R,NA,NA
41229,25605,1D/E,210,215,2.00E+05,lizard,,,jugal,1,1L,NA,NA
41229,25606,1D/E,210,215,2.00E+05,lizard,,,jugal,1,1R,burned,NA
41229,25607,1D/E,210,215,2.00E+05,lizard,,,squamosal,1,1R,"2 short horns, burned",NA
41229,25608,1D/E,210,215,2.00E+05,lizard,,,frontal,1,1R,NA,NA
41229,25609,1D/E,210,215,2.00E+05,lizard,,,surangular_articular,4,4L,NA,NA
41229,25610,1D/E,210,215,2.00E+05,lizard,,,surangular_articular,5,5R,1 burned,NA
41229,25611,1D/E,210,215,2.00E+05,lizard,,,surangular,1,1L,NA,NA
41229,25612,1D/E,210,215,2.00E+05,lizard,,,articular,1,1R,NA,NA
41229,25613,1D/E,210,215,2.00E+05,lizard,,,articular,1,1L,NA,NA
41229,25614,1D/E,210,215,2.00E+05,lizard,,,frontal,5,NA,NA,NA
41229,25615,1D/E,210,215,2.00E+05,lizard,,,frontal,2,NA,NA,NA
41229,25616,1D/E,210,215,2.00E+05,lizard,,,parietal,1,NA,NA,NA
41229,25617,1D/E,210,215,2.00E+05,lizard,,,scapulocorocoid,2,2L,NA,NA
41229,25618,1D/E,210,215,2.00E+05,lizard,,,premaxilla,2,NA,NA,NA
41229,25619,1D/E,210,215,2.00E+05,lizard,,,parietal,1,NA,NA,NA
41229,25620,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,"1 tooth missing top, closed mk, no tubercle",NA
41229,25621,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,missing most teeth,NA
41229,25622,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1R,NA,NA
41229,25623,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,NA,NA
41229,25624,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1R,NA,NA
41229,25625,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,NA,NA
41229,25626,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1L,NA,NA
41229,25627,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1R,NA,NA
41229,25628,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1L,NA,NA
41229,25629,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1L,NA,NA
41229,25630,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1R,NA,NA
41229,25631,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1R,NA,NA
41229,25719,1D/E,210,215,2.00E+05,lizard,,,vertebra,29,NA,NA,NA
41229,25720,1D/E,210,215,2.00E+05,lizard,,,vertebra,26,NA,NA,NA
41229,25721,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,NA,NA
41229,25722,1D/E,210,215,2.00E+05,lizard,,,vertebra,22,NA,NA,NA
41229,25723,1D/E,210,215,2.00E+05,lizard,,,pelvis,1,1R,NA,NA
41229,25724,1D/E,210,215,2.00E+05,lizard,,,braincase,1,NA,NA,NA
41229,25725,1D/E,210,215,2.00E+05,lizard,,,premaxilla,1,NA,NA,NA
41229,25726,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1L,NA,NA
41229,25727,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1R,"closed mk, no tubercle",NA
41229,25728,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,NA,NA
41229,25729,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1R,NA,NA
41229,25730,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1L,NA,NA
41229,25731,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1L,NA,NA
41229,25732,1D/E,210,215,2.00E+05,lizard,,,maxilla,1,1R,NA,NA
41229,25733,1D/E,210,215,2.00E+05,lizard,,,dentary,1,1R,NA,NA
41229,25747,1D/E,215,220,2.00E+06,lizard,,,frontal,1,NA,NA,NA
41229,25748,1D/E,215,220,2.00E+06,lizard,,,pelvis,1,1L,NA,NA
41229,25749,1D/E,215,220,2.00E+06,lizard,,,frontal,1,NA,NA,NA
41229,25754,1D/E,215,220,2.00E+06,lizard,,,vertebra,19,NA,NA,NA
41229,25766,1D/E,215,220,2.00E+06,lizard,,,vertebra,13,NA,NA,NA
41229,25773,1D/E,215,220,2.00E+06,lizard,,,pelvis,1,1R,NA,NA
41229,25774,1D/E,215,220,2.00E+06,lizard,,,braincase,1,NA,NA,NA
41229,25781,1D/E,215,220,2.00E+06,lizard,,,vertebra,14,NA,NA,NA
41229,25785,1D/E,215,220,2.00E+06,lizard,,,femur,4,4L,NA,NA
41229,25786,1D/E,215,220,2.00E+06,lizard,,,femur,4,4R,NA,NA
41229,25787,1D/E,215,220,2.00E+06,lizard,,,humerus,6,6L,NA,NA
41229,25788,1D/E,215,220,2.00E+06,lizard,,,humerus,2,2R,NA,NA
41229,25789,1D/E,215,220,2.00E+06,lizard,,,vertebra,17,NA,NA,NA
41229,25790,1D/E,215,220,2.00E+06,lizard,,,tibia,2,NA,NA,NA
41229,25791,1D/E,215,220,2.00E+06,lizard,,,pelvis,1,1R,NA,NA
41229,25792,1D/E,215,220,2.00E+06,lizard,,,dentary,1,1L,NA,NA
41229,25793,1D/E,215,220,2.00E+06,lizard,,,dentary,1,1R,NA,NA
41229,25794,1D/E,215,220,2.00E+06,lizard,,,maxilla,1,1L,NA,NA
41229,25795,1D/E,215,220,2.00E+06,lizard,,,maxilla,1,1R,pitted bone,NA
41229,25796,1D/E,215,220,2.00E+06,lizard,,,maxilla,1,1L,NA,NA
41229,25797,1D/E,215,220,2.00E+06,lizard,,,dentary,1,1R,NA,NA
41229,25798,1D/E,215,220,2.00E+06,lizard,,,dentary,1,1L,"closed mk, no tubercle",NA
41229,25799,1D/E,215,220,2.00E+06,lizard,,,frontal,1,NA,NA,NA
41229,25800,1D/E,215,220,2.00E+06,lizard,,,pelvis,1,1R,NA,NA
41229,25801,1D/E,215,220,2.00E+06,lizard,,,scapulocorocoid,1,1L,NA,NA
41229,25833,1D/E,215,220,2.00E+06,lizard,,,jugal,1,1L,NA,NA
41229,25834,1D/E,215,220,2.00E+06,lizard,,,parietal,1,NA,short horn,NA
41229,25835,1D/E,215,220,2.00E+06,lizard,,,squamosal,1,1L,2 short horns,NA
41229,25836,1D/E,215,220,2.00E+06,lizard,,,parietal,1,NA,NA,NA
41229,25837,1D/E,215,220,2.00E+06,lizard,,,frontal,1,NA,NA,NA
41229,25838,1D/E,215,220,2.00E+06,lizard,,,surangular_articular,1,1L,NA,NA
41229,25839,1D/E,215,220,2.00E+06,lizard,,,vertebra,1,NA,caudal vert,NA
41229,25840,1D/E,215,220,2.00E+06,lizard,,,quadrate,1,1L,"missing part of conch, burned",NA
41229,25841,1D/E,215,220,2.00E+06,lizard,,,humerus,7,7L,NA,NA
41229,25842,1D/E,215,220,2.00E+06,lizard,,,frontal,1,1L,NA,NA
41229,25843,1D/E,215,220,2.00E+06,lizard,,,parietal,4,4L,NA,NA
41229,25844,1D/E,215,220,2.00E+06,lizard,,,parietal,1,1L,NA,NA
41229,25845,1D/E,215,220,2.00E+06,lizard,,,parietal,1,NA,NA,NA
41229,25846,1D/E,215,220,2.00E+06,lizard,,,jugal,1,1R,NA,NA
41229,25847,1D/E,215,220,2.00E+06,lizard,,,maxilla,1,1R,NA,NA
41229,25848,1D/E,215,220,2.00E+06,lizard,,,coronoid,1,1L,NA,NA
41229,25849,1D/E,215,220,2.00E+06,lizard,,,pelvis,2,2L,NA,NA
41229,25850,1D/E,215,220,2.00E+06,lizard,,,pelvis,3,3R,NA,NA
41229,25851,1D/E,215,220,2.00E+06,lizard,,,tibia,2,NA,NA,NA
41229,25852,1D/E,215,220,2.00E+06,lizard,,,axis,1,NA,NA,NA
41229,25853,1D/E,215,220,2.00E+06,lizard,,,surangular_articular,1,1L,NA,NA
41229,25854,1D/E,215,220,2.00E+06,lizard,,,femur,2,2L,NA,NA
41229,25855,1D/E,215,220,2.00E+06,lizard,,,femur,3,3R,NA,NA
41229,25898,1C,215,220,2.00E+06,lizard,,,vertebra,7,NA,NA,NA
41229,25899,1C,215,220,2.00E+06,lizard,,,frontal,1,NA,NA,NA
41229,25900,1C,215,220,2.00E+06,lizard,,,femur,2,2L,NA,NA
41229,25901,1C,215,220,2.00E+06,lizard,,,humerus,1,1L,NA,NA
41229,25902,1C,215,220,2.00E+06,lizard,,,pelvis,3,3L,NA,NA
41229,25903,1C,215,220,2.00E+06,lizard,,,quadrate,1,1L,NA,NA
41229,25904,1C,215,220,2.00E+06,lizard,,,quadrate,1,1L,NA,NA
41229,25930,1D/E,220,225,2.00E+07,lizard,,,vertebra,33,NA,NA,NA
41229,25931,1D/E,220,225,2.00E+07,lizard,,,parietal,1,NA,NA,NA
41229,25932,1D/E,220,225,2.00E+07,lizard,,,frontal,1,NA,burned,NA
41229,25933,1D/E,220,225,2.00E+07,lizard,,,frontal,1,1R,NA,NA
41229,25934,1D/E,220,225,2.00E+07,lizard,,,pelvis,6,6L,NA,NA
41229,25935,1D/E,220,225,2.00E+07,lizard,,,pelvis,7,7R,NA,NA
41229,25936,1D/E,220,225,2.00E+07,lizard,,,dentary,1,1L,NA,NA
41229,25937,1D/E,220,225,2.00E+07,lizard,,,dentary,1,1R,burned,NA
41229,25938,1D/E,220,225,2.00E+07,lizard,,,maxilla,1,1L,NA,NA
41229,25939,1D/E,220,225,2.00E+07,lizard,,,dentary,1,1L,"closed mk, no tubercle",NA
41229,25940,1D/E,220,225,2.00E+07,lizard,,,dentary,1,1R,"closed mk, no tubercle",NA
41229,25941,1D/E,220,225,2.00E+07,lizard,,,maxilla,1,1L,NA,NA
41229,25942,1D/E,220,225,2.00E+07,lizard,,,maxilla,1,1R,NA,NA
41229,25943,1D/E,220,225,2.00E+07,lizard,,,maxilla,1,1R,NA,NA
41229,25944,1D/E,220,225,2.00E+07,lizard,,,maxilla,1,1R,NA,NA
41229,25945,1D/E,220,225,2.00E+07,lizard,,,jugal,1,1L,NA,NA
41229,25946,1D/E,220,225,2.00E+07,lizard,,,humerus,3,3L,NA,NA
41229,25947,1D/E,220,225,2.00E+07,lizard,,,femur,9,9L,NA,NA
41229,25948,1D/E,220,225,2.00E+07,lizard,,,femur,10,10R,NA,NA
41229,25949,1D/E,220,225,2.00E+07,lizard,,,vertebra,18,NA,NA,NA
41229,25951,1D/E,220,225,2.00E+07,lizard,,,scapulocorocoid,3,3L,NA,NA
41229,26006,1C,220,225,2.00E+07,lizard,,,vertebra,53,NA,NA,NA
41229,26007,1C,220,225,2.00E+07,lizard,,,frontal,1,NA,NA,NA
41229,26008,1C,220,225,2.00E+07,lizard,,,frontal,1,1R,NA,NA
41229,26009,1C,220,225,2.00E+07,lizard,,,humerus,1,1R,NA,NA
41229,26010,1C,220,225,2.00E+07,lizard,,,femur,1,1R,NA,NA
41229,26011,1C,220,225,2.00E+07,lizard,,,maxilla,1,1L,NA,NA
41229,26012,1C,220,225,2.00E+07,lizard,,,maxilla,1,1R,NA,NA
41229,26013,1C,220,225,2.00E+07,lizard,,,dentary,1,1L,NA,NA
41229,26014,1C,220,225,2.00E+07,lizard,,,maxilla,1,1L,NA,NA
41229,26015,1C,220,225,2.00E+07,lizard,,,dentary,1,1L,"closed mk, no tubercle",NA
41229,26016,1C,220,225,2.00E+07,lizard,,,phalanges,2,NA,NA,NA
41229,26017,1C,220,225,2.00E+07,lizard,,,postorbital,4,NA,NA,NA
41229,26018,1C,220,225,2.00E+07,lizard,,,osteoderm,2,NA,NA,NA
41229,26019,1C,220,225,2.00E+07,lizard,,,femur,1,1L,NA,NA
41229,26020,1C,220,225,2.00E+07,lizard,,,humerus,1,1L,NA,NA
41229,26021,1C,220,225,2.00E+07,lizard,,,pelvis,1,1L,NA,NA
41229,26022,1C,220,225,2.00E+07,lizard,,,surangular_articular,1,1L,NA,NA
41229,26023,1C,220,225,2.00E+07,lizard,,,pterygoid,1,1L,NA,NA
41229,26024,1C,220,225,2.00E+07,lizard,,,parietal,1,1L,NA,NA
41229,26025,1C,220,225,2.00E+07,lizard,,,interclavicle,1,NA,t shaped,NA
41229,26026,1C,220,225,2.00E+07,lizard,,,quadrate,1,1L,shallow conch,NA
41229,26027,1C,220,225,2.00E+07,lizard,,,premaxilla,1,NA,NA,NA
41229,26028,1C,220,225,2.00E+07,lizard,,,jugal,2,2R,NA,NA
41229,26029,1C,220,225,2.00E+07,lizard,,,scapulocorocoid,2,2L,NA,NA
41229,26030,1C,220,225,2.00E+07,lizard,,,frontal,1,NA,NA,NA
41229,26053,E1/2 comp. pit 1,220,230,2E7,lizard,,,vertebra,2,NA,NA,NA
41229,26054,E1/2 comp. pit 1,220,230,2E7,lizard,,,tibia,1,NA,NA,NA
41229,26055,E1/2 comp. pit 1,220,230,2E7,lizard,,,axis,1,NA,NA,NA
41229,26069,"E1/2 comp. pit 1, under rock B",220,235,2E7,lizard,,,vertebra,2,NA,NA,NA
41229,26070,"E1/2 comp. pit 1, under rock B",220,235,2E7,lizard,,,phalanges,1,NA,NA,NA
41229,26071,"E1/2 comp. pit 1, under rock B",220,235,2E7,lizard,,,premaxilla,1,NA,NA,NA
41229,26072,"E1/2 comp. pit 1, under rock B",220,235,2E7,lizard,,,dentary,1,1L,NA,NA
41229,26073,"E1/2 comp. pit 1, under rock B",220,235,2E7,lizard,,,scapulocorocoid,1,1R,NA,NA
41229,26091,1D/E,225,230,2.00E+08,lizard,,,vertebra,28,NA,NA,NA
41229,26092,1D/E,225,230,2.00E+08,lizard,,,vertebra,14,NA,NA,NA
41229,26093,1D/E,225,230,2.00E+08,lizard,,,axis,1,NA,NA,NA
41229,26094,1D/E,225,230,2.00E+08,lizard,,,pelvis,8,8L,NA,NA
41229,26095,1D/E,225,230,2.00E+08,lizard,,,pelvis,6,6R,NA,NA
41229,26096,1D/E,225,230,2.00E+08,lizard,,,humerus,2,2L,1 burned,NA
41229,26097,1D/E,225,230,2.00E+08,lizard,,,tibia,1,NA,NA,NA
41229,26098,1D/E,225,230,2.00E+08,lizard,,,femur,5,5L,1 burned,NA
41229,26099,1D/E,225,230,2.00E+08,lizard,,,femur,5,5R,NA,NA
41229,26100,1D/E,225,230,2.00E+08,lizard,,,parietal,1,NA,NA,NA
41229,26101,1D/E,225,230,2.00E+08,lizard,,,maxilla,1,1L,NA,NA
41229,26102,1D/E,225,230,2.00E+08,lizard,,,dentary,1,1L,NA,NA
41229,26103,1D/E,225,230,2.00E+08,lizard,,,frontal,1,NA,NA,NA
41229,26104,1D/E,225,230,2.00E+08,lizard,,,maxilla,1,1L,NA,NA
41229,26105,1D/E,225,230,2.00E+08,lizard,,,maxilla,1,1R,NA,NA
41229,26106,1D/E,225,230,2.00E+08,lizard,,,dentary,1,1L,"closed mk, no tubercle",NA
41229,26107,1D/E,225,230,2.00E+08,lizard,,,dentary,1,1R,"burned, closed mk, no tubercle",NA
41229,26108,1D/E,225,230,2.00E+08,lizard,,,frontal,1,NA,NA,NA
41229,26109,1D/E,225,230,2.00E+08,lizard,,,dentary,1,1L,NA,NA
41229,26110,1D/E,225,230,2.00E+08,lizard,,,braincase,1,NA,NA,NA
41229,26111,1D/E,225,230,2.00E+08,lizard,,,scapulocorocoid,3,3L,NA,NA
41229,26112,1D/E,225,230,2.00E+08,lizard,,,scapulocorocoid,2,2R,NA,NA
41229,26113,1D/E,225,230,2.00E+08,lizard,,,osteoderm,5,NA,NA,NA
41229,26161,E1/2 comp. pit 1,225,244,2E8,lizard,,,maxilla,1,1R,NA,NA
41229,26162,E1/2 comp. pit 1,225,244,2E8,lizard,,,braincase,1,NA,sphenoid,NA
41229,26172,E1/2 comp. pit 1,225,240,2.00E+08,lizard,,,vertebra,1,NA,NA,NA
41229,26181,1C,225,230,2.00E+08,lizard,,,vertebra,2,NA,NA,NA
41229,26182,1C,225,230,2.00E+08,lizard,,,femur,2,2L,NA,NA
41229,26183,1C,225,230,2.00E+08,lizard,,,pelvis,3,3L,NA,NA
41229,26184,1C,225,230,2.00E+08,lizard,,,frontal,1,NA,NA,NA
41229,26185,1C,225,230,2.00E+08,lizard,,,parietal,1,NA,NA,NA
41229,26186,1C,225,230,2.00E+08,lizard,,,dentary,1,1R,NA,NA
41229,26187,1C,225,230,2.00E+08,lizard,,,maxilla,1,1L,NA,NA
41229,26188,1C,225,230,2.00E+08,lizard,,,ulna,1,NA,NA,NA
41229,26189,1C,225,230,2.00E+08,lizard,,,dentary,1,1R,"highly coroded bone, closed mk",NA
41229,26190,1C,225,230,2.00E+08,lizard,,,surangular_articular,1,1R,NA,NA
